sector,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agriculture,501923772,591517440,775781132,771350586,1071537443,866545089,608703004,506209233,607940563,438136029,,82729234,74000051,151271202,195603601,278729538
Camp Coordination / Management,10858792,5881418,92391600,51546719,29254554,3575341,99460384,112439822,123964982,104757580,160767311,258523830,299124311,358195628,389978486,450478758
Coordination and support services,279486332,424208904,398637092,387197197,305533627,369711276,332125954,346751637,506004681,440646245,304291920,325237628,393057079,532520349,534661318,580269610
Early Recovery,578985364,476375109,676092774,305978894,410586133,489429090,698939754,698061957,826731039,746086641,698557646,306797454,488572742,1386600818,1869129981,2132318834
Education,328579024,459153125,590618264,305981906,313141002,408713386,517896008,643385732,636934901,825775680,875715520,1052686835,1395827394,2863484047,2953727071,3729945962
Emergency Shelter and NFI,347113701,751158625,821516329,399089308,359055808,700385317,1797622254,1692659183,1613330683,1439839651,1665341753,1651681900,1762318402,2482864701,3343107131,3931200007
Emergency Telecommunications,3395929,8823743,4824797,3298650,14224465,41076680,45697500,41698840,40206019,34958454,12327038,16573587,11199347,13644929,15970862,20846175
Food Security,2971354697,3797590426,4146715954,2848202388,2684900266,2780317554,4425637301,4725586291,4847722656,6552176694,7036295376,8204316278,8887500401,14136840173,19745147862,20898402477
Health,883436909,1095450147,1449821988,1228381112,1467645758,1536770651,1755361264,1828549659,2061504858,1946721695,2184740426,2376037508,4376645801,3907848426,4566300193,5298621442
Logistics,146838709,31748087,150747025,168825943,165286987,159783892,196736897,325915843,322546652,299267521,410449188,337446004,395487386,449129559,585431846,637772206
Nutrition,,15868596,,,5843000,3560000,268589204,411502853,624726458,1498356441,1649220614,1855946698,1887651290,2545580506,2985977016,3586483576
Protection,288664176,501453139,756138818,639040697,461509191,591222229,752735963,829761657,1150446347,1187888571,964340725,1408470101,1305383304,2344497009,2854105219,3350686626
Protection - Child Protection,4528308,,,,509600,3162251,,21943119,26208644,4149711,163055934,217545864,343414877,731165032,989886590,1312218096
Protection - Gender-Based Violence,,,,,,,,7967775,9083450,1261109,145566007,186710422,341516384,746584120,958800207,1209318852
Protection - Mine Action,80951200,204103270,226921065,62715909,90461865,54533367,41555784,18902915,29606093,70801785,94760783,71213563,121016174,235471276,331732043,336396591
Water Sanitation Hygiene,478691400,631047264,890722654,745971596,648105181,691461684,986560136,1050466633,1225481355,1507602316,1552836816,1766570529,2468175162,2964801214,3782774948,4161942769
Multi-sector,277739112,587043632,647617237,999783070,1194312458,4139328732,5517456464,6174168264,5632795114,6667038814,7131311860,7669380781,13304114361,1431228191,4532891442,3401090665
"Protection - Housing, Land and Property",,,,,,,,,,,31307827,,6097085,50613874,47579836,73832112
Protection - Human Trafficking & Smuggling,,,,,,,,,,,,,,18658336,20671511,31113054
COVID-19,,,,,,,,,,,,,376000000,,,
Not specified,,,,,,,,,,,,,,,,
Multiple clusters/sectors (shared),,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,279569754,64068069,209670192
