sector,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Agriculture,217702167,315200130,355562224,453076317,467780898,281473749,272981814,171335771,200869473,221218818,,26156865,22288064,34007417,70814332,92632695
Camp Coordination / Management,6800891,597437,42108687,17189412,10899780,2695348,46482279,39693005,53726649,40895933,52836328,113549291,81226163,57043470,68359745,82590946
Coordination and support services,220041027,363503496,303532458,288016994,224943341,352033327,457939802,216643423,287673504,350886727,211168929,222085757,205087794,314703245,493983151,464395132
Early Recovery,227536168,257023790,293359015,88271204,128851299,153827203,216783436,239116640,231565143,184357734,131006686,89112411,118160644,137423507,263890265,387153252
Education,166640430,151960276,267150688,136518374,79113620,163274886,190673827,196191125,229780637,304660361,421621557,458168959,557432368,537753045,931137299,975665814
Emergency Shelter and NFI,179509499,421617101,470054809,147688986,152890903,286982810,558667373,531011388,427252953,431872202,438833265,439937427,421136373,480805396,1221794165,1568704741
Emergency Telecommunications,1565063,6208120,1032454,1918395,7021104,38443399,30689665,33270261,14305854,44114944,2871825,5636378,7834622,7317676,4861691,4401122
Food Security,2638574892,3509258364,3186658563,2190509559,2506068605,2400620629,3076789325,2540387522,2795273101,3875753737,4592786805,5758263385,5288054789,6365205929,11922199228,8068180203
Health,431032123,535040287,791292021,780878447,747549865,895120848,2136135641,833145012,795895070,869068623,853189761,915588965,1421828725,1211055041,2282014710,2111350401
Logistics,91872983,25378600,121534231,88375638,134722475,139746910,179318141,188750865,123859261,188849009,221786092,216111187,195356016,283694688,431747598,263489940
Nutrition,,9570718,,,1513551,1470205,171980705,217484718,365009464,762339637,882291431,1252986353,833246425,1348828856,1810093839,1233481906
Protection,168104515,221750515,310366692,134679763,164843477,181819642,349957833,292980590,371972816,423081773,344625970,526385720,549005255,521033673,940518063,1335411003
Protection - Child Protection,1018930,,,,363667,2283833,,5972174,6810179,14237840,79628489,102711067,137424041,157163603,240121908,429829198
Protection - Gender-Based Violence,,,,,,,,702210,2517350,3420587,46696518,56459084,112136790,215258633,205200075,259724530
Protection - Mine Action,15647265,104468544,111453801,25476855,54061098,98127189,20432175,12125759,15917932,57647019,33021596,70830505,36752717,57836245,128129423,153958304
Water Sanitation Hygiene,255931079,329103726,422642160,340419671,278990644,331493505,474092361,419471063,483541486,594136591,660398324,697028606,623781737,655390634,1270558450,1679538159
Multi-sector,206165154,438418155,289266624,435433503,497633485,2646708871,3149165459,3402400227,3201805767,3105676165,3356662098,2936131404,3020169781,725307069,2219104686,1840783434
"Protection - Housing, Land and Property",,,,,,,,,,,249999,,0,1854257,9766907,12140794
Protection - Human Trafficking & Smuggling,,,,,,,,,,,,,,1674940,5155645,4656219
COVID-19,,,,,,,,,,,,,320228985,,,
Not specified,342975689,294132149,474804082,,,,1236193491,1275109430,2261361563,,,2917222118,3733249140,,2545072258,1176979360
Multiple clusters/sectors (shared),,3357915,100008,1501,,4397725,124516,22560303,21005264,756807977,731213166,1069024002,1607389648,2910441172,3222048179,1314249446
Other,,,,,,,,,,,,,,33236506,23255739,45050203
